Product code,Amount,URL,Name,Price,Total
296-29737-1-ND,2,http://www.digikey.fi/product-detail/en/TLV71210DBVR/296-29737-1-ND/2765226, IC REG LDO 1V 0.3A SOT23-5,0.50,1.00
W9751G6KB-25-ND,1,http://www.digikey.fi/product-detail/en/W9751G6KB-25/W9751G6KB-25-ND/2815952, IC DDR2 SDRAM 512M 2.5NS 84WBGA,2.44,2.44
AT91SAM9N12-CU-ND,1,http://www.digikey.fi/product-detail/en/AT91SAM9N12-CU/AT91SAM9N12-CU-ND/3128657, IC MCU ARM9 128KB ROM 217LFBGA,8.51,8.51
535-9536-1-ND,2,http://www.digikey.fi/product-detail/en/ABS10-32.768KHZ-T/535-9536-1-ND/1237003, CRYSTAL 32.768KHZ 12.5PF SMD,0.66,1.32
SER3628CT-ND,2,http://www.digikey.fi/product-detail/en/TSX-3225+16.0000MF09Z-AC3/SER3628CT-ND/1802879, CRYSTAL 16MHZ 9PF SMD,0.51,1.02
1274-1044-ND,1,http://www.digikey.fi/product-detail/en/S34ML04G200TFI000/1274-1044-ND/3979850, IC FLASH 4GBIT 25NS 48TSOP,2.98,2.98
APX823-31W5GDICT-ND,2,http://www.digikey.fi/product-detail/en/APX823-31W5G-7/APX823-31W5GDICT-ND/1844750, IC SUPERVISOR LO 3.08V SOT-25,0.37,0.74
AT45DB161E-SSHFHA-TCT-ND,1,http://www.digikey.fi/product-detail/en/AT45DB161E-SSHFHA-T/AT45DB161E-SSHFHA-TCT-ND/4292717, IC FLASH 16MBIT 85MHZ 8SOIC,1.42,1.42
AP7333-18SAG-7DICT-ND,2,http://www.digikey.fi/product-detail/en/AP7333-18SAG-7/AP7333-18SAG-7DICT-ND/2270848, IC REG LDO 1.8V 0.3A SOT23-3,0.39,0.78
PAM2321AYMADJDICT-ND,2,http://www.digikey.fi/product-detail/en/PAM2321AYMADJ/PAM2321AYMADJDICT-ND/4505347, IC REG BUCK SYNC 1.2V/ADJ 10DFN,0.53,1.06
609-4613-1-ND,3,http://www.digikey.fi/product-detail/en/10118192-0001LF/609-4613-1-ND/2785378, CONN USB MICRO B RECPT SMT R/A,0.37,1.11
AE10332-ND,1,http://www.digikey.fi/product-detail/en/AU-Y1006-2-R/AE10332-ND/2077795, CONN USB 2.0 R/A FMAL TYPE-A SMD,0.66,0.66
1276-1022-1-ND,250,http://www.digikey.fi/product-detail/en/CL05A104KP5NNNC/1276-1022-1-ND/3889108, CAP CER 0.1UF 10V 10% X5R 0402,0.00364,0.91
399-3482-1-ND,10,http://www.digikey.fi/product-detail/en/C0603C475K9PACTU/399-3482-1-ND/754775, CAP CER 4.7UF 6.3V 10% X5R 0603,0.073,0.73
311-1017-1-ND,20,http://www.digikey.fi/product-detail/en/CC0402JRNPO9BN150/311-1017-1-ND/302934, CAP CER 15PF 50V 5% NPO 0402,0.01,0.20
1276-1119-1-ND,10,http://www.digikey.fi/product-detail/en/CL10A106MQ8NNNC/1276-1119-1-ND/3889205, CAP CER 10UF 6.3V 20% X5R 0603,0.103,1.03
311-1024-1-ND,10,http://www.digikey.fi/product-detail/en/CC0402JRNPO9BN101/311-1024-1-ND/302941, CAP CER 100PF 50V 5% NPO 0402,0.01,0.1
445-6755-1-ND,4,http://www.digikey.fi/product-detail/en/MLZ1608N100LT000/445-6755-1-ND/2523576, INDUCTOR MULTILAYER 10UH 0603,0.14,0.56
445-6618-1-ND,2,http://www.digikey.fi/product-detail/en/VLS201612ET-1R0N/445-6618-1-ND/2465958, INDUCTOR POWER 1.0UH 1.65A SMD,0.40,0.80
RHM27CECT-ND,10,http://www.digikey.fi/product-detail/en/MCR01MRTJ270/RHM27CECT-ND/4098681, RES 27 OHM 1/16W 5% 0402 SMD,0.01,0.1
RHM470KCDCT-ND,10,http://www.digikey.fi/product-detail/en/MCR01MRTF4703/RHM470KCDCT-ND/4083764, RES 470K OHM 1/16W 1% 0402 SMD,0.009,0.09
RHM10.0KCDCT-ND,50,http://www.digikey.fi/product-detail/en/MCR01MRTF1002/RHM10.0KCDCT-ND/2796414, RES 10K OHM 1/16W 1% 0402 SMD,0.0076,0.38
311-1.0JRCT-ND,10,http://www.digikey.fi/product-detail/en/RC0402JR-071RL/311-1.0JRCT-ND/729354, RES 1.0 OHM 1/16W 5% 0402 SMD,0.01,0.1
RHM1.50KCDCT-ND,10,http://www.digikey.fi/product-detail/en/MCR01MRTF1501/RHM1.50KCDCT-ND/2796421, RES 1.5K OHM 1/16W 1% 0402 SMD,0.01,0.1
RHM100KCDCT-ND,10,http://www.digikey.fi/product-detail/en/MCR01MRTF1003/RHM100KCDCT-ND/2796415, RES 100K OHM 1/16W 1% 0402 SMD,0.01,0.1
RMCF0402FT442KCT-ND,10,http://www.digikey.fi/product-detail/en/RMCF0402FT442K/RMCF0402FT442KCT-ND/2417692, RES 442K OHM 1/16W 1% 0402,0.02,0.2
490-3988-1-ND,2,http://www.digikey.fi/product-detail/en/PRG21BC0R2MM1RA/490-3988-1-ND/966757, THERMISTOR PTC 0.2 OHM SMD,0.71,1.42
